adaptationists,adj. (在进化和遗传中或在政治方面)能动适应的，善于适应的
adaptations,n. 适应( adaptation的复数形式 ); 适合; 改编; 改编本
adaptative,a. 可适应的
adapted,a. 适合的
adapted for,"为…而改编的,适合…"
adapted milk,[医] 适应乳(适于婴儿消化的)
adaptedness,适应性
adapter,"n. 适应者, 改编者, 接合器\n[计] 衔接器; 适配器, 适配卡"
adapter check,[计] 适配器检查
adapter computer system,[计] 自适应计算机系统
adapter control block,[计] 衔接器控制块
adapter plate,[机] 接装板
adapter sleeve,[机] 接头套筒
adapter tube,[医] 接管(牛角管)
adapterization,"拾声, 拾音"
adapters,n. 适配器；连接物（adapter的复数）
adaptic bandage,[医] 适意绷带
adapting,[计] 自适应
adapting flange,[化] 连接法兰; 配接法兰
adapting form,[化] 承插式
adapting piece,[化] 连接件
adaption,"n. 适应, 改编本, 适应性的变化, 适合"
adaption of the budget,[经] 核定预算
adaptionist,[网络] 适应者
adaptions,"(adaption 的复数) n. 适应, 改编本, 适应性的变化, 适合"
adaptitude,特殊适应[适合]性
adaptive,"a. 适应的, 能适应的"
adaptive algorithm,[计] 自适应算法
adaptive array,[计] 自适应阵列
adaptive automatic equalizer,[计] 自适应自动均衡器
adaptive automaton,[计] 自适应自动机
adaptive channel allocation,[计] 自适应信道分配
adaptive communication,[计] 自适应通信
adaptive computer,[计] 自适应计算机
adaptive control,[计] 自适应控制\n[化] 自适应控制
adaptive control of constraint,[计] 限制式自适应控制
adaptive control sequence,[计] 自适应控制序列
adaptive control system,[计] 自适应控制系统
adaptive control systems,[化] 适应性控制系统
adaptive controller,[计] 自适应控制器\n[化] 适应控制器
adaptive converter,[计] 自适应转换器
adaptive decisions,[经] 适应性决定(策)
adaptive decoding,[计] 自适应译码
adaptive delta modulation,[计] 自适应增量调制
adaptive enzyme,"[化] 适应酶\n[医] 诱导酶, 适应酶"
adaptive equalization,[计] 自适应均衡
adaptive equalizer,[计] 自适应均衡器
adaptive estimation,[计] 自适估计
adaptive immunization,[化] 继承免疫作用
adaptive learning,"[计] 自适应学习, 适配学习"
adaptive linear element,[计] 自适应线性元件\n[化] 线性适应元
adaptive logic,[计] 自适应逻辑
adaptive maintenance,[计] 适应性维护
adaptive method,[计] 自适应方法
adaptive model,[计] 自适应模型
adaptive multiplexer,[计] 自适应多路复用器
adaptive optics, 自适应光学
adaptive optimal control,[计] 自适应优化控制
adaptive optimization,[计] 自适应优化
adaptive organization,[计] 自适应结构
adaptive prediction,[化] 适应预报
adaptive procedure,[计] 自适应过程
adaptive process,[计] 自适应过程
adaptive production system,[计] 自适应产生式系统
adaptive radiation, [遗]适应性辐射
adaptive reception,[计] 自适应接收
adaptive routing,[计] 自适应路由选择
adaptive servosystem,[计] 自适应伺服系统
adaptive system,[计] 自适应系统
adaptive system theory,[电] 调适性系统理论
adaptive telemetering system,[化] 适应遥测系统
adaptive telemetry,[计] 自适应遥测
adaptive testing,[计] 适应测试
adaptive threshold control,[计] 自适应阈值控制
adaptive thresholding,[计] 自适应阈
adaptive time-sharing,[计] 自适应分时
adaptive tree-walk protocol,[计] 自适应走树协议
adaptive value,[机] 适应值
adaptive-optics,自适应光学；适应性光学仪器（天文学使用的镜子，其形状可以改变以补偿光线受大气之扭曲）
adaptively,adv. 适应性地
adaptiveness,"n. 适应性, 适应能力（adaptive名词形式）"
adaptivity,[计] 自适应性
adaptogen,适应原
adaptogenesis,适应性状发生
adaptogens,适应原（adaptogen的复数）
adaptometer,"[计] 自适应计, 自适应计算器\n[医] 适应计"
adaptor,"n. 改编者, 插座, 转接器, 接合器, 拾音器\n[计] 适配器, 转接器"
adaptor coupling,[电] 承接耦合
adaptor for product discharge,[化] 排料接口
adaptor plug,[电] 承接插头
adaptors,"n. <美>编剧者, 改编者( adaptor的复数形式 )"
adapts,abbr. 模拟-数字-模拟处理与测试系统（Analogue-Digital-Analogue Process and Test System）；适应性销售量表
ADAR,[计] 高级数据采集程序
Adar Sheni,犹太历法中的闰月
adarce,"泉渣, 石灰华, 钙华"
adarces,n. [地质] 石灰华，[地质] 钙华
adare,abbr. advise date of receipt 信件接收日期
adarism,"[法] 裸体主义, 裸体者"
adarsa,高级印度薄纱
ADAS,"[计] 数据自动采集程序, 数据自动分析系统"
adass,abbr. Agricultural Development and Advisory Service (英国)农业发展与咨询服务处
adat,n. <印尼>传统法律
adato, [人名] 阿达托
adatom,n. [化]吸附原子
adatoms,(adatom 的第三人称 -s形式) n.[化]吸附原子
adaxial,"a. 近轴的\n[医] 向轴的, 近轴的"
adaxially,[网络] 正面
aday,n. (Aday)人名；(土)阿达伊
ADB,亚洲开发银行
ADBMS,[计] 数据库管理系统
ADBS,[计] 先进数据库系统
ADBT,[计] 存取判定汇集时间
ADC,"[计] 先行数据代码, 模数转换, 文档自动编制程序, 自动数字计算机\n[医] 阳极期间收缩"
ADCC,[计] 异步数据通信通道
ADCCP,[计] 高级数据通信控制规程
ADCI,[机] 美国压铸学会
Adcock,n. 爱德考克（男子名）；爱德考克天线
adcolumn,n. 广告栏
adconductor cathode,[电] 加位导体阴极
adcraft,n. 广告代理商
adcs,高级国防通信系统（advanced defense communications system）\n先进的发展中国家advanceddevelopingcountries\n姿态确定和控制子系统（attitude determination and control system）\n防空指挥所（air defense command post）
adcumulate,补堆积岩
add,"vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法"
Add All,全部添加
add and subtract relay,[电] 加和减的继电器
add arrow,[计] 添加箭头
add binder,[机] 粘结剂
add bond,[机] 粘结剂
add carry,[计] 加进位
add cells,[计] 添加单元
Add Cells as,添加单元格为
add character,[计] 加字符
add circuit,[计] 加法电路
add color,添加颜色\n[计] 添加颜色
add colors form selection,[计] 添加选中对象颜色
add custom autoformat,[计] 添加自定义自动套用格式
add dictionary,[计] 添加字典
add echo,添加回音\n[计] 添加回音
add file,[计] 加文件
add flip-flop,[计] 加法触发器
add fonts,添加字体\n[计] 添加字体
Add from Newest Messages,从最晚接收的消息追加
Add from Oldest Messages,从最早接收的消息追加
add fuel to the flame,火上加油
add fuel to the flames,火上浇油
add gradually,"[机] 慢慢加入, 逐步加入, 逐渐加入"
add in,把...包括在内\n[计] 添加
add indent,[计] 添加缩进
add individual files,添加单个文件\n[计] 添加单个文件
add instruction,[计] 加法指令
add insult to injury,伤害之余又侮辱
Add Layer Mask,增加图层屏蔽
add legend,[计] 添加图例
add line numbering,[计] 添加行号
add list,[计] 附加表
Add Lndent,增加缩进
add lustre to,给...增光
add mode,[计] 加方式
ADD NAME SPACE,[计] 增加名字空间
add network,[计] 加法网络
add on," （在计算或目录的末尾额外）加上, 附加"
add operation,[计] 加法运算
add output,[计] 加法输出
add overlay,[计] 添加覆盖图
add parity,[计] 加奇偶
add routing slip,[计] 添加传递名单
add slip,[计] 添加名单
add statement,[计] 加法语句
add subtotal to,[计] 添加分类汇总位置于
Add the sender of this message to the address book,将此消息的发送人加入地址工作薄
add the weight,[化] 增加重量
add their confirmation,"[经] 加保承兑, 予以确认"
add time,[计] 加法时间
add to,"[机] 加入, 加到"
add to document,[计] 添加到文件
add to multiple bonds,[机] 加到重键上去
Add to Template,添加到模板
add to workbook,[计] 添加到工作簿
add together," 加起来, 总计; 相加"
add tree,[计] 加法树
add up,合计
add up to,合计达
add watch,[计] 添加监视点
add windows components,添加窗口组件\n[计] 添加窗口组件
add wings to,加快...的速度
add with carry,[计] 进位加
Add Words To,添加词到
add-delete list,[计] 附加删除表
add-in, 附加项
add-ins,[计] 添加项
add-ins available,[计] 当前添加项
add-memory technique,[电] 加到内存技术
add-on,"[经] 比例附加, 比例运价"
add-on conference,[计] 追加电话会议
add-on loan,[经] 利上加利贷款
add-on memory,[计] 添加存储器
add-on purchase,[经] 增加购入
add-on rate,[经] 预加利率
add-on sales,"[经] 加售, 额外销售"
add-on storage,[计] 添加存储器
